is_vuln,num_commits,num_unique_authors,file_age,midnight_commits,risky_commits,seldom_contributors,num_lines,commit_frequency,busy_file,extension_0,extension_1,extension_2,extension_3,extension_4,extension_5,extension_6,extension_7,extension_8,extension_9,extension_10
1,71,12,1266,0,0,7,1941,0.0561,1,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,100,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,23,8,1160,0,0,5,421,0.0198,0,0,0,0,0,1,1,1,1,1,0,1
1,14,7,1160,0,0,3,64,0.0121,0,0,0,0,0,1,1,1,1,1,0,1
1,22,6,1160,0,0,4,347,0.019,0,0,0,0,0,1,1,1,1,1,0,1
1,28,8,1160,0,0,5,413,0.0241,0,0,0,0,0,1,1,1,1,1,0,1
1,6,6,1080,0,0,0,513,0.0056,0,0,0,0,0,1,1,1,1,1,0,1
1,16,6,1160,0,0,3,237,0.0138,0,0,0,0,0,1,1,1,1,1,0,1
1,18,6,1160,0,0,3,331,0.0155,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,1151,0,0,2,128,0.0061,0,0,0,0,0,1,1,1,1,1,0,1
1,15,9,1392,1,0,5,1049,0.0108,0,0,0,0,0,1,1,1,1,1,0,1
1,9,6,2029,1,0,5,374,0.0044,0,0,0,0,0,1,1,1,1,1,0,1
1,58,17,1081,4,0,13,575,0.0537,1,0,0,0,0,1,1,1,0,1,0,1
1,165,26,2029,1,0,15,967,0.0813,1,0,0,0,0,1,1,1,0,1,0,1
1,9,3,910,0,0,1,70,0.0099,0,0,0,0,0,1,1,1,1,1,0,1
1,11,7,2029,1,0,5,215,0.0054,0,0,0,0,0,1,1,1,1,1,0,1
1,13,9,2029,1,0,7,396,0.0064,0,0,0,0,0,1,1,1,1,1,0,1
1,9,6,2029,1,0,5,198,0.0044,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,106,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,1,1,562,0,0,0,391,0.0018,0,0,0,1,0,1,0,0,1,1,0,0
1,1,1,805,0,0,0,1967,0.0012,0,0,0,1,0,1,0,0,1,1,0,0
1,1,1,805,0,0,0,1999,0.0012,0,0,0,1,0,1,0,0,1,1,0,0
1,6,3,2029,1,0,2,10,0.003,0,0,0,1,0,1,0,0,1,1,0,0
1,6,3,2029,1,0,2,1111,0.003,0,0,0,1,0,1,0,0,1,1,0,0
1,6,3,2029,1,0,2,988,0.003,0,0,0,1,0,1,0,0,1,1,0,0
1,6,3,2029,1,0,2,951,0.003,0,0,0,1,0,1,0,0,1,1,0,0
1,1,1,1080,0,0,0,376,0.0009,0,0,0,1,0,0,0,1,1,0,1,0
1,1,1,1080,0,0,0,376,0.0009,0,0,0,1,0,0,0,1,1,0,1,0
1,1,1,1080,0,0,0,376,0.0009,0,0,0,1,0,0,0,1,1,0,1,0
1,1,1,1080,0,0,0,372,0.0009,0,0,0,1,0,0,0,1,1,0,1,0
1,1,1,1080,0,0,0,390,0.0009,0,0,0,1,0,0,0,1,1,0,1,0
1,1,1,1080,0,0,0,390,0.0009,0,0,0,1,0,0,0,1,1,0,1,0
1,1,1,1080,0,0,0,389,0.0009,0,0,0,1,0,0,0,1,1,0,1,0
1,1,1,1080,0,0,0,385,0.0009,0,0,0,1,0,0,0,1,1,0,1,0
1,1,1,1080,0,0,0,19,0.0009,0,0,0,1,0,1,0,0,1,1,0,0
1,1,1,1080,0,0,0,245,0.0009,0,0,0,1,0,1,0,0,1,1,0,0
1,7,4,2029,1,0,3,107,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,573,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,8,5,2029,1,0,4,537,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
1,8,5,2029,1,0,4,917,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,1000,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,3532,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,8,5,2029,1,0,4,369,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
1,25,10,2029,1,0,6,616,0.0123,1,0,0,0,0,1,1,1,1,1,0,1
1,5,3,853,0,0,2,569,0.0059,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,1257,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,179,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,8,5,2029,1,0,4,147,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,1232,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,396,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,184,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,9,6,2029,1,0,5,458,0.0044,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,445,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,378,0.003,0,0,0,0,0,1,1,1,1,1,0,1
